Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
40493285,NSA - Nationales Sicherheits-Amt,Andreas Eschbach,"Eschbach, Andreas",,"=""3785726252""","=""9783785726259""",3,3.92,Bastei-Lübbe,Hardcover,796,2018,2018,2018/12/12,2018/10/12,"2018, audiobook, audible","2018 (#42), audiobook (#86), audible (#8)",read,"Vielleicht nicht sein bestes Buch. Nach der ersten Szene benötigt die Geschichte fast das halbe Buch um dieser an diese Stelle zu gelangen. Dabei sind die beiden Hauptfiguren nicht gerade sympathisch. Wie er in dieser Geschichte mit Hilfe der Nazis die heutigen technologischen Möglichkeiten aufzeigt ist für einen Nerd sicherlich nichts Neues. Eingewoben in die Geschichte allerdings sehr unterhaltsam. Im Gegensatz zu seinen vorherigen Romanen bleibt bis auf das Ausgangsszenario alles erschreckend realistisch und überhaupt nicht fiktiv. Das Ende ist ihm besser gelungen als in seinen sonst so überragenden Geschichten, vielleicht auch weil man bis zum Schluss nur bedingt mit den beiden Hauptfiguren mitfiebert.",,,1,,,0,,,,,
42434145,Es hätte alles so schön sein können,Horst Evers,"Evers, Horst",,"=""""","=""""",5,3.64,Rowohlt E-Book,Kindle Edition,279,2018,,2018/12/24,2018/11/26,"2018, audiobook, audible","2018 (#49), audiobook (#90), audible (#6)",read,,,,1,,,0,,,,,
42960583,1000: Ein sehr persönlicher Rückblick auf 1.000 Vorstellungen im Berliner Mehringhof Theater,Horst Evers,"Evers, Horst",,"=""3837142094""","=""9783837142099""",2,3.50,Random House Audio,Audiobook,,2018,,2018/11/26,2018/11/26,"2018, audiobook, spotify","2018 (#50), audiobook (#91), spotify (#1)",read,"Ich mag Horst Evers gerne und freue mich auch immer das er seine Hörbücher selbst lies. Wobei es sich ja hier um sein Bühnenprogramm handelt. Die schlechte Bewertung liegt daran, dass die Geschichten nicht nur einmal schon in mehreren seiner Büchern vorkamen und somit wenig Neues bieten.",,,1,,,0,,,,,
25366292,Auerhaus,Bov Bjerg,"Bjerg, Bov",,"=""3351050232""","=""9783351050238""",3,3.67,Blumenbar,Hardcover,240,2015,2015,2018/12/13,2018/12/12,"2018, audiobook, audible","2018 (#54), audiobook (#93), audible (#5)",read,Olli Schulz Empfehlung im fest und flauschig Podcast. Solide Jugendgeschichte die unaufgeregt aber unterhaltsam dahin plätschert.,,,1,,,0,,,,,
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""""","=""""",0,4.21,MTV Books/Pocket Books,Paperback,213,1999,1999,,2018/12/31,to-read,to-read (#501),to-read,,,,0,,,0,,,,,
21853693,How to Age,Anne Karpf,"Karpf, Anne",,"=""1250058988""","=""9781250058980""",0,3.68,Picador,Paperback,224,2015,2014,,2018/12/31,to-read,to-read (#500),to-read,,,,0,,,0,,,,,
20838995,Der unsichtbare Apfel,Robert Gwisdek,"Gwisdek, Robert",,"=""""","=""9783462046410""",1,3.74,Kiepenheuer & Witsch,Hardcover,368,2014,,2018/12/31,2017/06/07,2018,2018 (#56),read,Leider hat mir die die Geschichte und sein Protagonist überhaupt nicht zugesagt. Kann das Buch niemandem empfehlen und hoffe Robert Gwisdek konzentriert sich mehr auf seine Musik als auch das  Schreiben weiterer Romane.,,,1,,,0,,,,,
38891567,Wir sind dann wohl die Angehörigen: Die Geschichte einer Entführung,Johann Scheerer,"Scheerer, Johann",,"=""""","=""""",0,3.84,Piper ebooks,Kindle Edition,240,2018,2018,,2018/12/17,to-read,to-read (#499),to-read,,,,0,,,0,,,,,
1274325,Im Keller,Jan Philipp Reemtsma,"Reemtsma, Jan Philipp",,"=""3930908298""","=""9783930908295""",4,3.77,Hamburger Edition,Hardcover,221,1997,1997,2018/12/17,2018/11/28,"2018, book","2018 (#52), book (#187)",read,"Ich kann mich noch an den Entführungsfall Mitte der 90er Jahre erinnern und das obwohl ich gerade einmal so alt war wie der Sohn von Jan Philipp Reemtsma.<br/>Jetzt sein Buch zu lesen und auch nur annähernd ein Gefphl dafür zu bekommen wie es ihm und seiner Familie während und nach der Tat erging, war sehr ergreifend.<br/>Keine große Überraschung ist hierbei das Bild der Boulevard Medien über die ich damals auch an die neusten ""Erkenntnisse"" gelangt bin.<br/>Einerseits reizt es mich nun das 2018 erschiene Buch seines Sohns zu lesen, auf Grund der Thematik vielleicht aber erst viel später einmal.",,,1,,,0,,,,,
7155145,Linchpin: Are You Indispensable?,Seth Godin,"Godin, Seth",,"=""1591843162""","=""9781591843160""",0,3.83,Portfolio,Hardcover,244,2010,2010,,2018/12/15,"to-read, projekt","to-read (#498), projekt (#6)",to-read,,,,0,,,0,,,,,
154959,"Small Is the New Big: and 183 Other Riffs, Rants, and Remarkable Business Ideas",Seth Godin,"Godin, Seth",,"=""1591841267""","=""9781591841265""",0,3.80,Portfolio,Hardcover,352,2006,2006,,2018/12/15,"to-read, projekt","to-read (#497), projekt (#5)",to-read,,,,0,,,0,,,,,
